O,T,value
31,1555,0.600503124
31,1556,0.593603728
31,1557,0.637090954
31,1558,0.617285606
31,1559,0.553415675
31,1560,0.449089635
31,1561,0.420876549
31,1562,0.517867085
31,1563,0.593995505
31,1564,0.632018475
31,1565,0.662480841
31,1566,0.663298761
31,1567,0.653751779
31,1568,0.56876714
31,1569,0.448431273
31,1570,0.536672371
31,1571,0.599501
31,1572,0.651483597
31,1573,0.668927975
31,1574,0.640802524
31,1575,0.672185908
31,1576,0.644679052
31,1577,0.59375494
31,1578,0.509619152
31,1579,0.437449739
31,1580,0.536012537
31,1581,0.626079964
31,1582,0.661906922
31,1583,0.687496134
31,1584,0.675258263
31,1585,0.67812442
31,1586,0.702352723
31,1587,0.688073489
31,1588,0.607948258
31,1589,0.516217498
31,1590,0.446622128
31,1591,0.464915356
31,1592,0.536589892
31,1593,0.605253933
31,1594,0.653731159
31,1595,0.697135905
31,1596,0.658762398
31,1597,0.654267274
31,1598,0.684805246
31,1599,0.682949461
31,1600,0.658329381
31,1601,0.595596978
31,1602,0.457543765
31,1603,0.537455925
31,1604,0.624749985
31,1605,0.682640163
31,1606,0.651229286
31,1607,0.65518142
31,1608,0.577575245
31,1609,0.45768295
31,1610,0.401875374
31,1611,0.458997464
31,1612,0.506979813
31,1613,0.556817948
31,1614,0.5896241
31,1615,0.60814071
31,1616,0.571891045
31,1617,0.566756707
31,1618,0.589541621
31,1619,0.583025754
31,1620,0.523424129
31,1621,0.40620382
31,1622,0.397591604
31,1623,0.415860775
31,1624,0.463059571
31,1625,0.50865002
31,1626,0.581664845
31,1627,0.574406664
31,1628,0.58603625
31,1629,0.601501124
31,1630,0.589211704
31,1631,0.52209415
31,1632,0.408712567
31,1633,0.444481102
31,1634,0.515537044
31,1635,0.596181207
31,1636,0.646173991
31,1637,0.679438934
31,1638,0.637719859
31,1639,0.666762893
31,1640,0.640761284
31,1641,0.574619736
31,1642,0.446802306
31,1643,0.455945729
31,1644,0.53322886
31,1645,0.596243067
31,1646,0.630678186
31,1647,0.64993711
31,1648,0.670556942
31,1649,0.656267398
31,1650,0.67070128
31,1651,0.669649669
31,1652,0.647648308
31,1653,0.583211333
31,1654,0.447893684
31,1655,0.534280471
31,1656,0.59587191
31,1657,0.640637565
31,1658,0.674821123
31,1659,0.648370002
31,1660,0.675835619
31,1661,0.651906304
31,1662,0.583149473
31,1663,0.506752995
31,1664,0.43279653
31,1665,0.458914984
31,1666,0.532321587
31,1667,0.599645339
31,1668,0.647122502
31,1669,0.681922593
31,1670,0.671629173
31,1671,0.693073798
31,1672,0.682021568
31,1673,0.647875126
31,1674,0.591521125
