year,T,PV,Wind,Y
2009,532,0,0.1964,1
2009,533,0,0.1919,1
2009,534,0,0.1938,1
2009,535,0,0.2044,1
2009,536,0,0.2319,1
2009,537,0.005,0.2712,1
2009,538,0.041,0.3157,1
2009,539,0.096,0.3593,1
2009,540,0.144,0.403,1
2009,541,0.163,0.4112,1
2009,542,0.144,0.4002,1
2009,543,0.091,0.3968,1
2009,544,0.029,0.4137,1
2009,545,0,0.4276,1
2009,546,0,0.4128,1
2009,547,0,0.3632,1
2009,548,0,0.3346,1
2009,549,0,0.3183,1
2009,550,0,0.301,1
2009,551,0,0.2822,1
2009,552,0,0.2621,1
2009,553,0,0.251,1
2009,554,0,0.2414,1
2009,555,0,0.2361,1
2009,556,0,0.2417,1
2009,557,0,0.2517,1
2009,558,0,0.2614,1
2009,559,0,0.2712,1
2009,560,0,0.2823,1
2009,561,0.006,0.2849,1
2009,562,0.045,0.2586,1
2009,563,0.097,0.2457,1
2009,564,0.138,0.235,1
2009,565,0.159,0.2238,1
2009,566,0.153,0.2176,1
2009,567,0.11,0.2332,1
2009,568,0.041,0.2684,1
2009,569,0,0.2888,1
2009,570,0,0.2896,1
2009,571,0,0.2891,1
2009,572,0,0.2885,1
2009,573,0,0.2985,1
2009,574,0,0.3169,1
2009,575,0,0.3407,1
2009,576,0,0.3828,1
2009,577,0,0.4422,1
2009,578,0,0.5036,1
2009,579,0,0.5591,1
2009,580,0,0.6109,1
2009,581,0,0.6516,1
2009,582,0,0.6637,1
2009,583,0,0.6292,1
2009,584,0,0.5823,1
2009,585,0.007,0.5269,1
2009,586,0.035,0.5061,1
2009,587,0.072,0.4841,1
2009,588,0.103,0.4864,1
2009,589,0.115,0.4914,1
2009,590,0.098,0.4938,1
2009,591,0.064,0.4856,1
2009,592,0.021,0.4686,1
2009,593,0,0.4419,1
2009,594,0,0.4258,1
2009,595,0,0.4094,1
2009,596,0,0.3763,1
2009,597,0,0.348,1
2009,598,0,0.3062,1
2009,599,0,0.2642,1
2009,600,0,0.2351,1
2009,601,0,0.2027,1
2009,602,0,0.1754,1
2009,603,0,0.1557,1
2009,604,0,0.1417,1
2009,605,0,0.1283,1
2009,606,0,0.1095,1
2009,607,0,0.094,1
2009,608,0,0.0849,1
2009,609,0.009,0.0764,1
2009,610,0.05,0.0669,1
2009,611,0.096,0.0574,1
2009,612,0.139,0.0491,1
2009,613,0.158,0.0423,1
2009,614,0.151,0.0375,1
2009,615,0.096,0.0377,1
2009,616,0.027,0.0519,1
2009,617,0,0.0816,1
2009,618,0,0.1171,1
2009,619,0,0.1521,1
2009,620,0,0.1897,1
2009,621,0,0.2188,1
2009,622,0,0.2304,1
2009,623,0,0.2436,1
2009,624,0,0.267,1
2009,625,0,0.3012,1
2009,626,0,0.3379,1
2009,627,0,0.3528,1
2009,628,0,0.3578,1
2009,629,0,0.3508,1
2009,630,0,0.3408,1
2009,631,0,0.3221,1
2009,632,0,0.2701,1
2009,633,0.005,0.2216,1
2009,634,0.029,0.1855,1
2009,635,0.059,0.1561,1
2009,636,0.078,0.1476,1
2009,637,0.084,0.1423,1
2009,638,0.071,0.139,1
2009,639,0.041,0.1372,1
2009,640,0.011,0.1381,1
2009,641,0,0.1458,1
2009,642,0,0.1493,1
2009,643,0,0.1496,1
2009,644,0,0.1451,1
2009,645,0,0.1349,1
2009,646,0,0.1212,1
2009,647,0,0.1145,1
2009,648,0,0.1088,1
2009,649,0,0.0996,1
2009,650,0,0.0923,1
2009,651,0,0.0841,1
2009,652,0,0.0823,1
2009,653,0,0.0824,1
2009,654,0,0.0841,1
2009,655,0,0.0867,1
2009,656,0,0.092,1
2009,657,0.003,0.0942,1
2009,658,0.032,0.0946,1
2009,659,0.071,0.0927,1
2009,660,0.107,0.0936,1
2009,661,0.137,0.1014,1
2009,662,0.134,0.1172,1
2009,663,0.093,0.1364,1
2009,664,0.034,0.1584,1
2009,665,0.001,0.1737,1
2009,666,0,0.184,1
2009,667,0,0.1944,1
2009,668,0,0.207,1
2009,669,0,0.2198,1
2009,670,0,0.218,1
2009,671,0,0.2129,1
2009,672,0,0.2083,1
2009,673,0,0.2071,1
2009,674,0,0.2001,1
2009,675,0,0.1967,1
2009,676,0,0.2066,1
2009,677,0,0.2309,1
2009,678,0,0.2598,1
2009,679,0,0.2889,1
2009,680,0,0.332,1
2009,681,0.009,0.3667,1
2009,682,0.038,0.4135,1
2009,683,0.078,0.436,1
2009,684,0.119,0.4585,1
2009,685,0.14,0.4989,1
2009,686,0.133,0.5122,1
2009,687,0.095,0.5248,1
2009,688,0.038,0.5298,1
2009,689,0.001,0.5513,1
2009,690,0,0.5694,1
2009,691,0,0.5738,1
2009,692,0,0.5792,1
2009,693,0,0.5817,1
2009,694,0,0.5987,1
2009,695,0,0.6146,1
2009,696,0,0.6208,1
2009,697,0,0.6252,1
2009,698,0,0.6314,1
2009,699,0,0.6462,1
2009,700,0,0.6433,1
2009,701,0,0.6393,1
2009,702,0,0.6426,1
2009,703,0,0.6537,1
2009,704,0,0.6692,1
2009,705,0.016,0.6775,1
2009,706,0.053,0.683,1
2009,707,0.095,0.6851,1
2009,708,0.121,0.6818,1
2009,709,0.126,0.6754,1
2009,710,0.106,0.6588,1
2009,711,0.069,0.6514,1
2009,712,0.026,0.6591,1
2009,713,0,0.6691,1
2009,714,0,0.6665,1
2009,715,0,0.6619,1
2009,716,0,0.6596,1
2009,717,0,0.6524,1
2009,718,0,0.6348,1
2009,719,0,0.6195,1
2009,720,0,0.6061,1
2009,721,0,0.5975,1
2009,722,0,0.5903,1
2009,723,0,0.5887,1
2009,724,0,0.5937,1
2009,725,0,0.5974,1
2009,726,0,0.6011,1
2009,727,0,0.6068,1
2009,728,0,0.6142,1
2009,729,0.026,0.6184,1
2009,730,0.079,0.6137,1
2009,731,0.137,0.6283,1
2009,732,0.178,0.644,1
2009,733,0.188,0.6573,1
2009,734,0.168,0.66,1
2009,735,0.118,0.6582,1
2009,736,0.048,0.6615,1
2009,737,0.001,0.6675,1
2009,738,0,0.6663,1
2009,739,0,0.6603,1
2009,740,0,0.6471,1
2009,741,0,0.6285,1
2009,742,0,0.6082,1
2009,743,0,0.5879,1
2009,744,0,0.5703,1
2009,745,0,0.55,1
2009,746,0,0.5269,1
2009,747,0,0.5126,1
2009,748,0,0.4885,1
2009,749,0,0.4753,1
2009,750,0,0.4843,1
2009,751,0,0.4888,1
2009,752,0,0.4971,1
2009,753,0.067,0.4966,1
2009,754,0.189,0.4856,1
2009,755,0.284,0.5084,1
2009,756,0.344,0.532,1
2009,757,0.33,0.5221,1
2009,758,0.261,0.4922,1
2009,759,0.161,0.4597,1
2009,760,0.06,0.4636,1
2009,761,0.003,0.4861,1
2009,762,0,0.4946,1
2009,763,0,0.4898,1
2009,764,0,0.4676,1
2009,765,0,0.4199,1
2009,766,0,0.3732,1
2009,767,0,0.3406,1
2009,768,0,0.3111,1
2009,769,0,0.3033,1
2009,770,0,0.3147,1
2009,771,0,0.3315,1
2009,772,0,0.3473,1
2009,773,0,0.3686,1
2009,774,0,0.3866,1
2009,775,0,0.4019,1
2009,776,0,0.4088,1
2009,777,0.016,0.4195,1
2009,778,0.065,0.4181,1
2009,779,0.108,0.4624,1
2009,780,0.132,0.4962,1
2009,781,0.13,0.4943,1
2009,782,0.107,0.4717,1
2009,783,0.069,0.4455,1
2009,784,0.026,0.4518,1
2009,785,0.001,0.4719,1
2009,786,0,0.4843,1
2009,787,0,0.5011,1
2009,788,0,0.5219,1
2009,789,0,0.5454,1
2009,790,0,0.5602,1
2009,791,0,0.5755,1
2009,792,0,0.589,1
2009,793,0,0.594,1
2009,794,0,0.5891,1
2009,795,0,0.5862,1
2009,796,0,0.5835,1
2009,797,0,0.5792,1
2009,798,0,0.5719,1
2009,799,0,0.5639,1
2009,800,0,0.5545,1
2009,801,0.032,0.5355,1
2009,802,0.103,0.5031,1
2009,803,0.178,0.4734,1
2009,804,0.222,0.4605,1
2009,805,0.23,0.4507,1
2009,806,0.202,0.4198,1
2009,807,0.146,0.3712,1
2009,808,0.063,0.3403,1
2009,809,0.003,0.3305,1
2009,810,0,0.3202,1
2009,811,0,0.2926,1
2009,812,0,0.2625,1
2009,813,0,0.2325,1
2009,814,0,0.2034,1
2009,815,0,0.1809,1
2009,816,0,0.1613,1
2009,817,0,0.1449,1
2009,818,0,0.1312,1
2009,819,0,0.1187,1
2009,820,0,0.1083,1
