year,hour_of_year,PV,Wind
2009,796.0,0.0,0.5835
2009,797.0,0.0,0.5792
2009,798.0,0.0,0.5719
2009,799.0,0.0,0.5639
2009,800.0,0.0,0.5545
2009,801.0,0.032,0.5355
2009,802.0,0.103,0.5031
2009,803.0,0.178,0.4734
2009,804.0,0.222,0.4605
2009,805.0,0.23,0.4507
2009,806.0,0.202,0.4198
2009,807.0,0.146,0.3712
2009,808.0,0.063,0.3403
2009,809.0,0.003,0.3305
2009,810.0,0.0,0.3202
2009,811.0,0.0,0.2926
2009,812.0,0.0,0.2625
2009,813.0,0.0,0.2325
2009,814.0,0.0,0.2034
2009,815.0,0.0,0.1809
2009,816.0,0.0,0.1613
2009,817.0,0.0,0.1449
2009,818.0,0.0,0.1312
2009,819.0,0.0,0.1187
2009,820.0,0.0,0.1083
2009,821.0,0.0,0.1003
2009,822.0,0.0,0.0962
2009,823.0,0.0,0.0956
2009,824.0,0.001,0.1004
2009,825.0,0.045,0.107
2009,826.0,0.118,0.1037
2009,827.0,0.184,0.1113
2009,828.0,0.221,0.1283
2009,829.0,0.223,0.1487
2009,830.0,0.182,0.1653
2009,831.0,0.116,0.1773
2009,832.0,0.045,0.1872
2009,833.0,0.002,0.2025
2009,834.0,0.0,0.2099
2009,835.0,0.0,0.2094
2009,836.0,0.0,0.2067
2009,837.0,0.0,0.2048
2009,838.0,0.0,0.2037
2009,839.0,0.0,0.2064
2009,840.0,0.0,0.2073
2009,841.0,0.0,0.2077
2009,842.0,0.0,0.2127
2009,843.0,0.0,0.2083
2009,844.0,0.0,0.2061
2009,845.0,0.0,0.2168
2009,846.0,0.0,0.2382
2009,847.0,0.0,0.2685
2009,848.0,0.0,0.2881
2009,849.0,0.009,0.293
2009,850.0,0.04,0.293
2009,851.0,0.074,0.2869
2009,852.0,0.099,0.2717
2009,853.0,0.105,0.2559
2009,854.0,0.091,0.241
2009,855.0,0.063,0.2234
2009,856.0,0.027,0.2161
2009,857.0,0.002,0.2172
2009,858.0,0.0,0.2199
2009,859.0,0.0,0.2126
2009,860.0,0.0,0.2015
2009,861.0,0.0,0.1978
2009,862.0,0.0,0.1937
2009,863.0,0.0,0.1964
2009,864.0,0.0,0.2043
2009,865.0,0.0,0.219
2009,866.0,0.0,0.2332
2009,867.0,0.0,0.244
2009,868.0,0.0,0.2642
2009,869.0,0.0,0.2807
2009,870.0,0.0,0.291
2009,871.0,0.0,0.2995
2009,872.0,0.0,0.2997
2009,873.0,0.02,0.2994
2009,874.0,0.071,0.2869
2009,875.0,0.13,0.2939
