O,T,G,value
10,1211,PV,0.00875
10,1212,PV,0
10,1213,PV,0.00625
10,1214,PV,0.085
10,1215,PV,0.165
10,1216,PV,0.286
10,1217,PV,0.39525
10,1218,PV,0.32
10,1219,PV,0.212
10,1220,PV,0.128
10,1221,PV,0.0415
10,1222,PV,0.000666667
10,1223,PV,0
10,1224,PV,0.0086
10,1225,PV,0.13
10,1226,PV,0.251
10,1227,PV,0.375
10,1228,PV,0.49
10,1229,PV,0.416
10,1230,PV,0.282
10,1231,PV,0.16
10,1232,PV,0.02175
10,1233,PV,0.003875
10,1234,PV,0.095
10,1235,PV,0.214
10,1236,PV,0.336
10,1237,PV,0.475
10,1238,PV,0.4005
10,1239,PV,0.2555
10,1240,PV,0.1105
10,1241,PV,0.004333333
10,1242,PV,0.004625
10,1243,PV,0.108
10,1244,PV,0.226
10,1245,PV,0.36
10,1246,PV,0.4735
10,1247,PV,0.382
10,1248,PV,0.246
10,1249,PV,0.0935
10,1250,PV,0.003333333
10,1251,PV,0.005125
10,1252,PV,0.123
10,1253,PV,0.235
10,1254,PV,0.325
10,1255,PV,0.442
10,1256,PV,0.333
10,1257,PV,0.209
10,1258,PV,0.0945
10,1259,PV,0.005
10,1260,PV,0
10,1261,PV,0.005714286
10,1262,PV,0.113
10,1263,PV,0.227
10,1264,PV,0.351
10,1265,PV,0.463833333
10,1266,PV,0.329
10,1267,PV,0.22
10,1268,PV,0.09
10,1269,PV,0.0055
10,1270,PV,0
10,1271,PV,0.008142857
10,1272,PV,0.144
10,1273,PV,0.275
10,1274,PV,0.406
10,1275,PV,0.538
