T,O,price_model,price
241,22,1.890202145,1.890202145
241,23,0.014465647,0.014465647
241,24,0.023189032,0.023189032
241,25,130.0342307,130.0342307
241,26,0.028142099,0.028142099
241,27,0.017536614,0.017536614
241,28,0.005131305,0.005131305
241,29,129.9661933,129.9661933
241,2,0.121171087,-0.121171087
241,30,130.0302096,130.0302096
241,3,0.002523544,-0.002523544
241,4,0.034796951,-0.034796951
241,5,0.155469834,-0.155469834
241,6,130.0025786,-130.0025786
241,7,130.0184324,-130.0184324
241,8,0.017990025,0.017990025
241,9,130.0034139,130.0034139
242,10,130.0176427,130.0176427
242,11,0.190388843,0.190388843
242,12,0.223953535,0.223953535
242,13,0.008663665,0.008663665
242,14,130.040162,130.040162
242,15,130.0046171,130.0046171
242,16,0.016976176,0.016976176
242,17,129.9707402,129.9707402
242,18,0.074599283,0.074599283
242,19,130.0019149,130.0019149
242,1,129.9949491,-129.9949491
242,20,124.490831,124.490831
242,21,130.0040376,130.0040376
242,22,0.011688499,0.011688499
242,23,13.46873466,13.46873466
242,24,130.0139525,130.0139525
242,25,129.9776009,129.9776009
242,26,0.009560709,0.009560709
242,27,0.317604396,0.317604396
242,28,0.006924747,0.006924747
242,29,127.8768293,127.8768293
