T,O,price_1,price_2,price_3,
51,3,13.00962947,-13.00962947,-13.00962947,5
52,1,13.01242427,13.01242427,220,10
52,2,15.37962885,15.37962885,15.37962885,7
52,3,15.3872872,-15.3872872,-15.3872872,9
53,1,15.38799799,15.38799799,110,5
53,2,13.00659346,13.00659346,13.00659346,8
53,3,13.00962671,-13.00962671,-13.00962671,3
54,1,13.01221977,13.01221977,88,4
54,2,15.38391732,15.38391732,15.38391732,3
54,3,15.38293361,-15.38293361,-15.38293361,3
55,1,15.38799965,15.38799965,176,8
55,2,13.00659317,13.00659317,13.00659317,6
55,3,13.00962273,-13.00962273,-13.00962273,8
56,1,13.01932199,13.01932199,22,1
56,2,13.00659754,13.00659754,13.00659754,10
56,3,15.39512842,-15.39512842,-15.39512842,7
57,1,15.3879992,15.3879992,176,8
57,2,15.38550309,15.38550309,15.38550309,9
57,3,15.38124349,-15.38124349,-15.38124349,3
58,1,13.0121778,13.0121778,44,2
58,2,13.00659617,13.00659617,13.00659617,9
58,3,13.00962226,-13.00962226,-13.00962226,7
59,1,15.40175803,15.40175803,66,3
59,2,15.39363162,15.39363162,15.39363162,6
59,3,15.38124259,-15.38124259,-15.38124259,8
60,1,13.01235203,13.01235203,132,6
60,2,13.00659534,13.00659534,13.00659534,8
60,3,13.00962209,-13.00962209,-13.00962209,2
61,1,15.38803595,15.38803595,154,7
61,2,13.00659162,13.00659162,13.00659162,3
61,3,15.38124233,-15.38124233,-15.38124233,2
62,1,15.38803547,15.38803547,0,0
62,2,15.37963028,15.37963028,15.37963028,8
62,3,13.00962239,-13.00962239,-13.00962239,1
63,1,13.01215151,13.01215151,66,3
63,2,13.00659159,13.00659159,13.00659159,8
63,3,13.00962957,-13.00962957,-13.00962957,2
64,1,15.38806807,15.38806807,66,3
64,2,15.3796307,15.3796307,15.3796307,0
64,3,15.39989346,-15.39989346,-15.39989346,8
65,1,13.01214895,13.01214895,88,4
65,2,13.00659173,13.00659173,13.00659173,4
65,3,13.00962059,-13.00962059,-13.00962059,5
66,1,15.38806778,15.38806778,176,8
66,2,13.00659774,13.00659774,13.00659774,2
66,3,15.38124193,-15.38124193,-15.38124193,7
67,1,13.01226769,13.01226769,44,2
67,2,13.00659723,13.00659723,13.00659723,7
67,3,13.00961906,-13.00961906,-13.00961906,9
68,1,15.38806704,15.38806704,176,8
68,2,13.00659162,13.00659162,13.00659162,9
68,3,15.38124177,-15.38124177,-15.38124177,6
69,1,13.01231469,13.01231469,110,5
69,2,15.38784219,15.38784219,15.38784219,9
69,3,15.40276623,-15.40276623,-15.40276623,2
70,1,15.3880663,15.3880663,44,2
70,2,13.0065921,13.0065921,13.0065921,8
70,3,15.38775268,-15.38775268,-15.38775268,6
71,1,13.01214085,13.01214085,66,3
71,2,15.39744438,15.39744438,15.39744438,9
71,3,13.00962083,-13.00962083,-13.00962083,0
72,1,15.38806606,15.38806606,132,6
72,2,15.38336517,15.38336517,15.38336517,2
72,3,15.38124074,-15.38124074,-15.38124074,4
73,1,13.01231486,13.01231486,132,6
73,2,13.0065928,13.0065928,13.0065928,0
73,3,13.00969522,-13.00969522,-13.00969522,6
74,1,15.39402117,15.39402117,88,4
74,2,15.38932317,15.38932317,15.38932317,7
74,3,15.38203323,-15.38203323,-15.38203323,9
75,1,13.01214082,13.01214082,66,3
